166	16968
0	3	1
0	7	1
0	11	3
0	12	1
0	16	1
0	17	3
0	18	1
0	19	1
0	24	9
0	27	5
0	29	1
0	30	1
0	31	5
0	32	1
0	34	3
0	36	9
0	37	1
0	40	5
0	42	1
0	43	1
0	52	5
0	55	7
0	57	19
0	59	17
0	61	1
0	63	1
0	67	5
0	70	1
0	76	1
0	79	3
0	80	11
0	82	5
0	86	7
0	91	3
0	96	1
0	97	3
0	104	11
0	105	1
0	106	3
0	108	1
0	112	1
0	114	1
0	120	1
0	121	1
0	124	3
0	126	1
0	131	1
0	135	15
0	136	3
0	138	9
0	141	7
0	142	11
0	143	25
0	146	1
0	148	13
0	149	1
0	151	1
0	154	5
0	155	1
0	156	1
0	159	9
0	162	1
0	163	13
0	164	1
1	10	8
1	11	2
1	15	2
1	23	2
1	24	2
1	29	2
1	31	2
1	32	2
1	37	2
1	43	25
1	53	2
1	59	2
1	80	2
1	83	2
1	108	2
1	112	2
1	114	2
1	115	5
1	120	5
1	122	2
1	132	5
1	141	2
1	143	8
1	154	2
1	160	2
2	36	5
2	39	5
2	49	40
2	51	11
2	68	5
2	87	11
2	94	5
2	118	17
2	128	5
2	153	5
3	3	255
3	5	14
3	6	25
3	7	8
3	10	8
3	11	98
3	12	2
3	15	44
3	16	11
3	17	5
3	18	5
3	19	2
3	21	2
3	23	8
3	24	2
3	25	36
3	27	28
3	28	11
3	29	5
3	30	14
3	31	11
3	32	5
3	33	137
3	34	84
3	35	5
3	36	2
3	37	47
3	40	30
3	41	8
3	42	19
3	43	28
3	44	5
3	45	16
3	48	8
3	50	2
3	52	87
3	53	5
3	55	78
3	56	25
3	57	22
3	59	11
3	61	87
3	63	11
3	65	11
3	66	16
3	69	14
3	72	5
3	76	11
3	78	2
3	79	22
3	80	44
3	82	163
3	83	5
3	86	36
3	88	22
3	90	5
3	91	5
3	92	8
3	94	11
3	95	8
3	96	14
3	97	50
3	98	16
3	99	19
3	103	25
3	106	8
3	107	42
3	108	25
3	109	11
3	112	8
3	114	14
3	115	19
3	120	50
3	122	2
3	123	8
3	124	143
3	129	2
3	132	8
3	134	123
3	135	2
3	136	14
3	138	109
3	141	19
3	142	47
3	143	56
3	144	8
3	146	8
3	147	30
3	149	25
3	150	5
3	151	2
3	153	33
3	154	112
3	155	8
3	158	2
3	159	25
3	162	30
3	163	5
3	164	16
3	165	25
4	4	26
4	9	17
4	27	8
4	36	8
4	40	8
4	49	170
4	57	8
4	60	17
4	68	35
4	70	8
4	72	8
4	80	8
4	83	8
4	85	8
4	87	17
4	94	8
4	104	53
4	112	8
4	114	8
4	118	107
4	119	8
4	120	8
4	128	71
4	132	8
4	137	8
5	3	39
5	4	2
5	5	240
5	6	2
5	7	6
5	8	32
5	10	37
5	11	60
5	12	20
5	15	48
5	16	23
5	17	27
5	18	4
5	19	16
5	21	4
5	23	270
5	24	153
5	25	16
5	27	102
5	28	4
5	29	13
5	30	53
5	31	118
5	32	53
5	33	13
5	34	18
5	36	41
5	37	195
5	38	4
5	39	4
5	40	216
5	41	2
5	43	398
5	45	2
5	46	2
5	47	18
5	50	2
5	52	41
5	53	25
5	55	13
5	56	18
5	57	100
5	59	193
5	63	27
5	66	11
5	67	9
5	69	30
5	71	270
5	72	342
5	73	11
5	76	6
5	79	30
5	80	72
5	81	11
5	82	18
5	83	11
5	86	368
5	88	6
5	89	2
5	90	4
5	91	32
5	92	9
5	93	46
5	94	41
5	95	4
5	96	67
5	97	44
5	98	23
5	99	2
5	103	4
5	104	23
5	105	158
5	106	30
5	107	6
5	108	34
5	109	2
5	112	123
5	114	58
5	115	149
5	116	2
5	119	2
5	120	132
5	121	6
5	124	37
5	125	2
5	127	2
5	128	2
5	129	25
5	130	18
5	131	11
5	132	121
5	134	2
5	135	86
5	136	324
5	137	44
5	138	18
5	139	37
5	141	81
5	142	37
5	143	284
5	144	13
5	146	44
5	147	18
5	148	72
5	149	6
5	150	39
5	151	4
5	153	2
5	154	25
5	155	69
5	156	79
5	158	48
5	159	69
5	162	53
5	163	25
5	164	13
5	165	4
6	0	2
6	3	156
6	6	771
6	7	6
6	8	2
6	10	19
6	11	239
6	12	25
6	14	2
6	15	339
6	16	19
6	17	10
