197	20483
0	0	5
0	3	8
0	6	2
0	9	2
0	13	2
0	15	5
0	18	5
0	22	5
0	26	11
0	27	8
0	28	2
0	32	11
0	36	2
0	38	11
0	45	2
0	46	8
0	47	2
0	53	2
0	56	2
0	58	8
0	60	2
0	63	26
0	64	8
0	66	11
0	67	46
0	68	2
0	75	5
0	79	26
0	84	17
0	85	2
0	91	2
0	93	11
0	96	2
0	97	8
0	98	11
0	100	2
0	105	8
0	108	8
0	110	14
0	116	2
0	117	20
0	119	2
0	120	8
0	123	2
0	126	8
0	128	2
0	137	5
0	139	14
0	140	2
0	144	49
0	146	99
0	147	114
0	149	8
0	150	2
0	153	5
0	155	2
0	157	2
0	158	2
0	160	5
0	164	11
0	165	11
0	166	11
0	167	14
0	168	2
0	169	2
0	170	32
0	175	5
0	178	2
0	181	2
0	182	14
0	186	5
0	190	2
0	193	5
1	1	213
1	2	2
1	3	137
1	4	16
1	6	6
1	9	4
1	10	90
1	11	18
1	20	12
1	22	127
1	24	2
1	25	8
1	27	92
1	29	61
1	32	38
1	33	18
1	36	18
1	37	6
1	38	69
1	39	34
1	42	6
1	44	18
1	45	10
1	46	18
1	47	10
1	49	28
1	50	14
1	53	22
1	54	131
1	56	2
1	58	2
1	59	18
1	66	43
1	68	104
1	71	36
1	72	165
1	74	32
1	75	2
1	76	71
1	77	8
1	78	6
1	79	4
1	81	4
1	83	2
1	84	81
1	86	4
1	87	2
1	90	116
1	91	2
1	98	67
1	100	38
1	102	8
1	104	2
1	105	2
1	106	14
1	107	20
1	108	143
1	115	26
1	118	2
1	122	6
1	125	12
1	126	59
1	129	2
1	130	81
1	131	12
1	139	53
1	146	2
1	149	65
1	150	2
1	151	6
1	154	6
1	155	4
1	157	49
1	158	2
1	159	2
1	160	28
1	161	2
1	164	2
1	166	2
1	167	6
1	168	8
1	169	10
1	171	22
1	174	32
1	175	208
1	177	6
1	178	188
1	179	10
1	181	14
1	183	231
1	185	30
1	188	4
1	189	24
1	190	32
1	192	14
1	195	8
2	1	4
2	2	37
2	3	103
2	4	2
2	10	2
2	11	2
2	14	2
2	20	7
2	22	4
2	24	4
2	25	2
2	26	2
2	27	24
2	28	4
2	29	4
2	30	4
2	32	4
2	36	7
2	37	2
2	38	32
2	39	2
2	45	2
2	46	2
2	47	4
2	49	4
2	53	12
2	54	32
2	58	9
2	61	2
2	66	2
2	68	7
2	71	4
2	72	4
2	74	4
2	76	17
2	77	2
2	81	2
2	84	19
2	87	4
2	90	29
2	98	7
2	102	9
2	107	4
2	108	7
2	112	2
2	126	9
2	131	12
2	139	7
2	149	2
2	151	2
2	157	12
2	160	2
2	164	2
2	167	2
2	169	7
2	171	7
2	174	14
2	175	12
2	177	2
2	178	7
2	181	2
2	183	17
2	185	2
2	190	2
3	1	35
3	2	237
3	3	7703
3	4	109
3	5	6
3	6	66
3	9	82
3	10	534
3	11	187
3	14	6
3	15	30
3	18	2
3	19	4
3	20	231
3	22	930
3	23	20
3	24	28
3	25	49
3	26	14
3	27	1564
3	28	86
3	29	825
3	30	63
3	32	1029
3	33	39
3	34	10
3	35	2
3	36	421
3	37	74
3	38	1950
3	39	662
3	42	175
3	44	80
3	45	123
3	46	336
3	47	183
3	49	361
3	50	88
3	52	24
3	53	443
3	54	3201
3	55	2
3	56	80
3	58	109
3	59	247
3	61	12
3	63	8
3	66	654
3	67	4
3	68	982
3	70	8
3	71	352
3	72	86
3	74	559
3	75	14
3	76	1554
3	77	51
3	78	8
3	79	113
3	80	2
3	81	70
3	83	24
3	84	1473
3	85	22
3	86	284
3	87	111
3	88	22
3	90	1793
3	91	33
3	92	4
3	93	16
3	96	2
3	97	12
3	98	736
3	99	4
3	100	297
3	102	286
3	103	12
3	104	14
3	105	20
3	106	41
3	107	235
3	108	1354
3	110	33
3	112	4
3	113	2
3	115	24
3	116	4
3	117	4
3	118	10
3	119	33
3	120	14
3	122	2
3	123	16
3	124	2
3	125	214
3	126	780
3	128	8
3	129	39
3	130	18
3	131	480
3	132	8
3	134	12
3	138	2
3	139	930
3	140	12
3	141	10
3	145	2
3	146	70
3	147	2
3	149	904
3	150	24
3	151	26
3	154	206
3	155	35
3	157	935
3	158	125
3	159	16
3	160	482
3	161	70
3	163	18
3	164	45
3	165	28
3	166	2
3	167	165
3	168	121
3	169	212
3	170	16
3	171	189
3	173	2
3	174	1791
3	175	1797
3	176	4
3	177	282
3	178	1783
3	179	103
3	181	293
3	182	20
3	183	945
3	185	478
3	186	4
3	188	105
3	189	47
3	190	470
3	192	68
3	193	16
3	194	4
3	195	160
3	196	2
4	1	2
4	3	112
4	4	1261
4	6	20
4	7	2
4	8	2
4	9	20
4	10	25
4	11	124
4	14	2
4	20	168
4	22	469
4	23	23
4	24	2
4	25	165
4	27	414
4	28	356
4	29	386
4	30	6
4	32	108
4	33	20
4	34	9
4	36	59
4	37	57
4	38	202
4	39	101
4	42	156
4	44	108
4	45	16
4	46	48
4	47	170
4	49	271
4	50	69
4	52	36
4	53	243
4	54	158
4	55	11
4	56	9
4	58	6
4	59	96
4	61	20
4	63	4
4	66	347
4	68	112
4	69	2
4	71	207
4	72	66
4	74	469
4	75	11
4	76	225
4	77	115
4	78	25
4	79	18
4	80	4
4	81	32
4	83	98
4	84	156
4	85	4
4	86	66
4	87	13
4	90	69
4	91	11
4	92	2
4	93	11
4	97	2
4	98	879
4	100	313
4	102	179
4	105	18
4	107	52
4	108	690
4	110	2
4	115	4
4	116	4
4	117	4
4	118	32
4	119	2
4	122	11
4	123	6
4	125	101
4	126	444
4	129	6
4	130	2
4	131	34
4	132	2
4	134	11
4	137	2
4	139	119
4	141	39
4	146	11
4	148	9
4	149	407
4	150	2
4	151	115
4	154	96
4	155	6
4	157	239
4	158	80
4	159	34
4	160	338
4	161	18
4	163	43
4	164	4
4	165	6
4	167	154
4	168	75
4	169	48
4	170	6
4	171	9
4	174	82
4	175	163
4	176	2
4	177	32
4	178	612
4	179	11
4	181	115
4	182	2
4	183	66
4	185	172
4	187	16
4	188	34
4	190	112
4	192	4
4	193	4
4	195	110
5	3	20
5	4	8
5	5	31
5	6	5
5	9	5
5	11	8
5	13	2
5	14	11
5	15	17
5	22	8
5	24	2
5	26	200
5	27	25
5	28	2
5	29	8
5	31	2
5	32	20
5	36	14
5	37	5
5	38	74
5	39	8
5	42	5
5	44	2
5	45	20
5	46	28
5	47	5
5	49	14
5	50	17
5	52	5
5	53	28
5	54	14
5	55	5
5	56	11
5	58	578
5	61	14
5	63	31
5	66	28
5	68	5
5	71	22
5	72	8
5	74	2
5	75	22
5	76	17
5	77	2
5	79	220
5	81	2
5	84	37
5	85	5
5	86	8
5	88	186
5	90	11
5	91	37
5	92	2
5	93	65
5	95	8
5	97	125
5	98	14
5	99	8
5	100	8
5	101	14
5	102	5
5	105	8
5	107	5
5	108	17
5	110	80
5	112	2
5	117	22
5	120	54
5	125	8
5	126	62
5	128	14
5	129	11
5	131	11
5	132	22
5	134	2
5	139	25
5	140	2
5	144	5
5	146	312
5	147	25
5	149	17
5	154	5
5	155	17
5	157	20
5	161	5
5	164	314
5	165	37
5	166	11
5	167	14
5	168	5
5	169	37
5	170	74
5	173	5
5	174	5
5	175	11
5	176	2
5	177	5
5	178	31
5	179	8
5	181	8
5	182	25
5	183	14
5	185	11
5	189	2
5	190	5
5	193	54
5	195	2
6	0	2
6	1	2
6	3	170
6	4	67
6	6	946
6	9	42
6	10	35
6	11	508
6	14	10
6	15	27
6	20	147
6	22	190
6	23	12
6	24	7
6	25	15
6	27	445
6	28	50
6	29	357
6	32	162
6	33	12
6	34	10
6	36	87
6	37	202
6	38	262
6	39	310
6	42	250
6	44	75
6	45	37
6	46	207
6	47	560
6	49	548
6	50	485
6	52	55
6	53	578
6	54	170
6	55	2
6	56	152
6	58	12
6	59	160
6	61	12
6	63	7
6	64	2
6	66	1366
6	68	60
6	71	443
6	72	37
6	74	175
6	75	22
6	76	330
6	77	65
6	78	15
6	79	70
6	80	5
6	81	202
6	83	17
6	84	260
6	85	15
6	86	235
6	87	60
6	89	2
6	90	80
6	91	40
6	93	37
6	97	5
6	98	473
6	99	7
6	100	145
6	102	475
6	105	17
6	106	20
6	107	175
6	108	362
6	110	20
6	116	2
6	117	5
6	118	7
6	120	5
6	123	10
6	125	513
6	126	1269
6	129	102
6	131	107
6	132	10
6	134	2
6	139	252
6	140	10
6	145	2
6	146	42
6	147	7
6	149	435
6	150	67
6	151	7
6	154	345
6	155	25
6	156	2
6	157	352
6	158	135
6	159	7
6	160	375
6	161	80
6	163	22
6	164	5
6	165	20
6	166	10
6	167	460
6	168	185
6	169	195
6	170	22
6	171	20
6	174	90
6	175	112
6	176	12
6	177	97
6	178	493
6	179	37
6	181	408
6	182	12
6	183	82
6	185	493
6	187	7
6	188	117
6	190	302
6	193	2
6	194	2
6	195	262
7	3	40
7	4	9
7	5	6
7	7	295
7	9	6
7	10	6
7	11	9
7	13	3
7	14	3
7	20	15
7	22	3
7	24	6
7	26	34
7	27	25
7	29	12
7	32	15
7	36	12
7	37	3
7	38	22
7	39	6
7	46	15
7	49	9
7	50	9
7	53	15
7	54	12
7	55	3
7	56	3
7	58	239
7	59	3
7	61	18
7	63	6
7	66	18
7	68	3
7	71	9
7	72	3
7	73	3
7	74	15
7	75	9
7	76	3
7	77	3
7	78	6
7	79	62
7	81	3
7	84	15
7	85	12
7	86	6
7	87	3
7	88	15
7	90	25
7	91	18
7	92	3
7	93	12
7	95	3
7	97	85
7	98	31
7	100	9
7	102	12
7	105	3
7	107	9
7	108	22
7	110	28
7	112	9
7	113	15
7	116	3
7	117	3
7	120	9
7	124	3
7	125	3
7	126	40
7	128	12
7	129	3
7	130	3
7	131	25
7	132	22
7	137	6
7	138	34
7	139	18
7	140	3
7	144	9
7	146	56
7	147	3
7	149	15
7	153	3
7	154	6
7	155	6
7	157	25
7	158	3
7	160	9
7	161	3
7	164	94
7	165	15
7	166	6
7	167	3
7	168	6
7	169	15
7	170	22
7	171	3
7	172	6
7	173	3
7	174	6
7	175	12
7	176	3
7	178	22
7	179	6
7	182	15
7	183	3
7	185	6
7	186	9
7	188	3
7	190	3
7	193	25
7	195	6
8	1	2
8	3	5
8	6	12
8	8	12
8	10	2
8	11	25
8	14	10
8	15	35
8	22	2
8	23	2
8	24	2
8	27	43
8	29	25
8	32	12
8	34	5
8	36	5
8	37	12
8	38	28
8	39	7
8	42	28
8	44	7
8	46	2
8	47	15
8	49	30
8	53	33
8	54	7
8	55	28
8	58	5
8	59	5
8	61	20
8	66	74
8	71	30
8	74	17
8	75	56
8	76	30
8	77	2
8	79	33
8	80	46
8	81	2
8	83	2
8	84	25
8	85	2
8	86	10
8	88	2
8	89	2
8	90	5
8	91	61
8	92	2
8	93	35
8	96	2
8	97	2
8	98	33
8	100	12
8	102	25
8	105	177
8	107	5
8	108	20
8	110	5
8	112	5
8	116	2
8	117	5
8	120	5
8	125	12
8	126	53
8	128	5
8	131	2
8	132	28
8	139	12
8	140	12
8	145	2
8	146	25
8	147	2
8	149	10
8	150	2
8	154	33
8	155	89
8	157	12
8	158	12
8	159	2
8	160	25
8	161	2
8	163	2
8	164	7
8	165	28
8	166	7
8	167	15
8	168	10
8	169	23
8	170	23
8	174	2
8	175	7
8	176	159
8	177	2
8	178	30
8	179	7
8	181	10
8	182	23
8	185	15
8	188	12
8	189	2
8	190	17
8	195	10
9	2	2
9	3	506
9	4	43
9	6	91
9	9	613
9	10	58
9	11	200
9	14	35
9	15	30
9	19	2
9	20	58
9	22	192
9	23	12
9	24	129
9	25	20
9	26	7
9	27	732
9	28	5
9	29	354
9	30	2
9	31	2
9	32	304
9	33	15
9	34	2
9	35	2
9	36	694
9	37	88
9	38	806
9	39	395
9	42	55
9	44	32
9	45	215
9	46	699
9	47	169
9	49	207
9	50	182
9	52	7
9	53	314
9	54	288
9	55	2
9	56	164
9	58	76
9	59	149
9	61	12
9	63	2
9	66	709
9	68	68
9	71	362
9	72	22
9	74	157
9	75	2
9	76	613
9	77	17
9	78	2
9	79	177
9	81	91
9	83	7
9	84	727
9	85	10
9	86	240
9	87	108
9	88	17
9	90	172
9	91	12
9	92	5
9	93	25
9	97	20
9	98	197
9	100	169
9	101	2
9	102	141
9	105	2
9	107	382
9	108	443
9	110	32
9	113	5
9	115	12
9	117	2
9	118	2
9	119	2
9	120	10
9	125	55
9	126	707
9	128	15
9	129	88
9	131	494
9	132	7
9	134	5
9	138	2
9	139	570
9	145	2
9	146	149
9	147	2
9	149	555
9	150	50
9	151	10
9	154	73
9	155	15
9	157	420
9	158	43
9	159	2
9	160	273
9	161	126
9	163	7
9	164	25
9	165	7
9	167	187
9	168	88
9	169	266
9	170	25
9	171	22
9	174	233
9	175	182
9	177	212
9	178	547
9	179	357
9	180	2
9	181	311
9	182	2
9	183	299
9	185	332
9	186	2
9	188	86
9	190	245
9	192	5
9	193	10
9	195	60
10	1	19
10	2	16
10	3	797
10	4	57
10	5	1
10	6	19
10	8	1
10	9	18
10	10	1192
10	11	66
10	15	1
10	20	84
10	22	701
10	23	14
10	24	9
10	25	25
10	27	627
10	28	46
10	29	459
10	30	3
10	32	254
10	33	27
10	34	1
10	36	82
10	37	19
10	38	555
10	39	156
10	42	36
10	44	14
10	45	19
10	46	115
10	47	63
10	49	119
10	50	48
10	52	10
10	53	126
10	54	1120
10	55	1
10	56	9
10	58	9
10	59	102
10	61	1
10	63	1
10	66	192
10	68	1230
10	71	119
10	72	115
10	74	245
10	75	10
10	76	541
10	77	23
10	78	12
10	79	16
10	81	19
10	83	3
10	84	431
10	85	1
10	86	77
10	87	21
10	90	1046
10	91	14
10	93	1
10	97	5
10	98	308
10	100	144
10	102	61
10	104	3
10	105	1
10	106	52
10	107	75
10	108	930
10	110	3
10	115	10
10	116	3
10	117	3
10	119	16
10	120	3
10	123	3
10	124	1
10	125	55
10	126	227
10	129	7
10	130	14
10	131	111
10	132	1
10	134	5
10	138	1
10	139	292
10	141	1
10	146	10
10	147	1
10	149	449
10	150	12
10	151	18
10	154	61
10	155	3
10	157	294
10	158	25
10	159	5
10	160	202
10	161	14
10	163	3
10	164	3
10	165	3
10	167	64
10	168	55
10	169	55
10	170	9
10	171	196
10	174	411
10	175	997
10	177	43
10	178	914
10	179	18
10	181	59
10	182	1
10	183	1457
10	185	171
10	188	18
10	189	59
10	190	155
10	192	61
10	195	32
11	1	3
11	2	5
11	3	184
11	4	43
11	6	110
11	8	3
11	9	31
11	10	35
11	11	1055
11	14	20
11	15	35
11	20	219
11	22	296
11	23	13
11	24	9
11	25	20
11	26	5
11	27	663
11	28	31
11	29	531
11	30	5
11	32	157
11	33	13
11	34	11
11	35	1
11	36	82
11	37	300
11	38	394
11	39	249
11	42	232
11	44	48
11	45	52
11	46	157
11	47	484
11	49	685
11	50	270
11	52	16
11	53	721
11	54	110
11	55	13
11	56	95
11	58	11
11	59	137
11	60	1
11	61	15
11	63	5
11	64	3
11	66	1534
11	68	80
11	71	554
11	72	43
11	74	202
11	75	46
11	76	497
11	77	13
11	78	7
11	79	54
11	80	1
11	81	193
11	83	9
11	84	334
11	85	16
11	86	400
11	87	43
11	88	1
11	90	65
11	91	37
11	92	9
11	93	35
11	97	5
11	98	482
11	99	1
11	100	137
11	102	409
11	104	1
11	105	45
11	106	9
11	107	146
11	108	556
11	110	18
11	112	5
11	113	1
11	115	3
11	116	9
11	117	7
11	118	1
11	120	3
11	122	5
11	123	7
11	125	195
11	126	2301
11	128	3
11	129	54
11	131	101
11	132	24
11	134	1
11	136	1
11	138	3
11	139	139
11	140	7
11	141	5
11	146	61
11	147	9
11	149	1048
11	150	39
11	151	16
11	154	129
11	155	43
11	157	387
11	158	146
11	159	1
11	160	556
11	161	50
11	163	30
11	164	7
11	165	33
11	166	5
11	167	343
11	168	358
11	169	107
11	170	33
11	171	16
11	174	103
11	175	93
11	176	1
11	177	90
11	178	841
11	179	45
11	181	559
11	182	16
11	183	41
11	185	512
11	188	58
11	190	413
11	192	1
11	193	1
11	194	1
11	195	80
12	3	4
12	38	4
12	90	8
12	168	4
12	171	12
13	3	10
13	4	2
13	5	2
13	6	6
13	9	2
13	10	4
13	11	2
13	13	19
13	15	4
13	18	4
13	22	6
13	26	15
13	27	25
13	29	19
13	32	6
13	36	4
13	38	2
13	39	10
13	42	2
13	44	2
13	45	10
13	46	10
13	47	10
13	50	4
13	53	34
13	54	8
13	55	6
13	56	2
13	58	49
13	59	4
13	60	6
13	61	4
13	63	40
13	64	8
13	66	49
13	67	2
13	71	15
13	74	4
13	75	21
13	76	19
13	79	85
13	81	4
13	84	38
13	86	8
13	88	6
13	89	2
13	90	6
13	91	15
13	92	2
13	93	34
13	95	2
13	96	2
13	97	8
13	98	15
13	99	6
13	100	2
13	102	4
13	105	10
13	107	6
13	108	4
13	110	12
13	112	2
13	116	4
13	117	85
13	120	60
13	125	2
13	126	53
13	128	6
13	129	4
13	131	10
13	132	8
13	136	2
13	137	6
13	139	8
13	140	6
13	144	10
13	146	289
13	147	105
13	149	27
13	153	2
13	154	4
13	155	2
13	157	8
13	158	2
13	160	12
13	161	2
13	164	10
13	165	40
13	166	4
13	167	8
13	168	4
13	169	12
13	170	60
13	171	2
13	173	4
13	174	4
13	175	4
13	178	27
13	179	4
13	181	10
13	182	19
13	183	2
13	185	4
13	188	2
13	193	12
13	194	2
14	3	26
14	4	3
14	6	22
14	8	3
14	9	14
14	10	7
14	11	29
14	14	550
14	15	360
14	19	3
14	20	22
14	22	3
14	23	18
14	24	11
14	26	26
14	27	104
14	28	11
14	29	70
14	32	44
14	33	7
14	34	3
14	36	70
14	37	22
14	38	52
14	39	29
14	40	11
14	42	29
14	44	11
14	45	29
14	46	44
14	47	126
14	49	59
14	50	70
14	52	3
14	53	338
14	54	22
14	55	29
14	56	40
14	58	70
14	59	14
14	61	204
14	63	48
14	64	3
14	66	342
14	68	3
14	71	301
14	72	11
14	74	11
14	75	241
14	76	63
14	77	7
14	78	3
14	79	602
14	80	18
14	81	66
14	84	96
14	85	26
14	86	14
14	87	22
14	88	3
14	89	14
14	90	18
14	91	513
14	92	159
14	93	423
14	96	3
14	97	29
14	98	81
14	99	22
14	100	33
14	102	63
14	105	33
14	107	37
14	108	55
14	110	59
14	111	3
14	112	14
14	116	14
14	117	11
14	120	66
14	125	70
14	126	223
14	128	26
14	129	48
14	131	29
14	132	178
14	136	7
14	139	92
14	140	174
14	145	3
14	146	327
14	147	22
14	149	130
14	150	18
14	151	3
14	153	7
14	154	48
14	155	275
14	156	37
14	157	44
14	158	18
14	160	33
14	161	18
14	163	3
14	164	37
14	165	245
14	166	37
14	167	37
14	168	14
14	169	40
14	170	185
14	171	3
